sample	gene	evidence_n	beta_n	evidence	beta	focal_log2	all_log2	all_log2_right	all_log2_left	informative_snps	snps	tc	ploidy	cna	cnb	cna.int	cnb.int	gene_type	log2_cutoff_pass	chr	all_log2_corr	cn_call_corr
example1	AKT1	0	1	0	1	7.8E-2	0.14	0.128	0.154	97	88	0.5	3.13	2.4491385763295899	2.4491385763295899	2	2	target	FALSE	14	0.14	wt
example1	APC	0	0.999	1	0.78100000000000003	-0.27	-0.216	-0.203	-0.226	89	84	0.5	3.13	2.2833603626440899	1.1057532756802899	2	1	target	TRUE	5	0.761090313	Unb.Gain
example1	AR						1.897					0.5	3.13					target	TRUE	X	3.413771043	Bal.Gain
example1	ARID1A	0	0.995	1	0.78100000000000003	-0.159	-0.107	-0.21	-0.246	15	15	0.5	3.13	2.5437621598105999	1.2697345485257301	3	1	target	TRUE	1	0.930743201	Unb.Gain
example1	ASXL1	0	0.997	0	0.999	5.6000000000000001E-2	0.083	0.1	6.7000000000000004E-2	49	46	0.5	3.13	2.3176797326639398	2.310101149	2	2	target	FALSE	20	0.083	wt
example1	ATG14	0	1	0	1	6.9000000000000006E-2	0.126	0.14399999999999999	0.126	122	120	0.5	3.13	2.414834914	2.414834914	2	2	control	TRUE	14	1.272414984	Bal.Gain
example1	ATM	0	1	0	1	-3.50E-02	0.017	7.0999999999999994E-2	3.7999999999999999E-2	67	63	0.5	3.13	2.1675502780821998	2.167495233	2	2	target	FALSE	11	0.017	wt
example1	ATR	0	1	1	0.57999999999999996	0.74	0.773	0.80300000000000005	0.81100000000000005	107	101	0.5	3.13	6.5944229209418701	2.098690561	7	2	target	TRUE	3	2.120552662	Unb.Gain
example1	ATXN7	0	1	1	0.439	-0.552	-0.53	-0.526	-0.549	124	148	0.5	3.13	2.383011567	-4.95E-02	2	0	control	TRUE	3	0.223665122	Imb_WTGrayZoneCN
example1	AURKA	0	1	0	1	6.0000000000000001E-3	0.036	6.6000000000000003E-2	2.3E-2	121	112	0.5	3.13	2.208300249	2.2071117694019202	2	2	target	FALSE	20	0.036	wt
example1	BRAF	0	1	0	1	8.3000000000000004E-2	0.139	0.14499999999999999	0.18	76	75	0.5	3.13	2.4464353376768302	2.4464353376768302	2	2	target	TRUE	7	1.290762449	Bal.Gain
example1	BRCA1	0		0		1.7999999999999999E-2	0.111	0.13500000000000001	8.3000000000000004E-2	3		0.5	3.13					target	FALSE	17	0.111	wt
example1	BRCA2	0	1	0	1	-1.60E-02	0.038	3.4000000000000002E-2	4.8000000000000001E-2	148	148	0.5	3.13	2.2137661433427298	2.2132698111467501	2	2	target	FALSE	13	0.038	wt
example1	BRIP1	0	0.999	0	0.997	4.1000000000000002E-2	0.06	0.13200000000000001	-0.02	31	31	0.5	3.13	2.271508192	2.2537179879626899	2	2	target	FALSE	17	0.06	wt
example1	C9orf47	0	0.999	1	0.78700000000000003	-0.221	-0.176	-0.12	-0.166	30	29	0.5	3.13	2.3609815966655701	1.1809575847190601	2	1	control	TRUE	9	0.824182335	Unb.Gain
example1	CCND1	0	0.997	0	1	0.183	0.13	0.13900000000000001	0.126	59	58	0.5	3.13	2.4255173773382799	2.4242949543947798	2	2	target	FALSE	11	0.13	wt
example1	CDK12	0		0		4.8000000000000001E-2	0.103	0.123	0.11700000000000001	6		0.5	3.13					target	FALSE	17	0.103	wt
example1	CDK4	0		0		0.20200000000000001	0.117	0.125	0.11799999999999999	1		0.5	3.13					target	FALSE	12	0.117	wt
example1	CDK6	0	1	0	1	0.111	0.106	9.9000000000000005E-2	0.14199999999999999	79	77	0.5	3.13	2.3673651155963502	2.3673651155963502	2	2	target	FALSE	7	0.106	wt
