gene    type    p_val   value
ARID1A  Gain    0.05    0.1
HSD3B1  Gain    0.05    0.07
FCER1A  Gain    0.05    0.08
MDM4    Gain    0.05    0.09
MYCN    Gain    0.05    0.1
SPDYA   Gain    0.05    0.05
MSH2    Gain    0.05    0.06
MSH6    Gain    0.05    0.06
IL1RL2  Gain    0.05    0.1
ERCC3   Gain    0.05    0.09
IDH1    Gain    0.05    0.13
FANCD2  Gain    0.05    0.08
MLH1    Gain    0.05    0.08
CTNNB1  Gain    0.05    0.06
ATXN7   Gain    0.05    0.08
FOXP1   Gain    0.05    0.1
RYBP    Gain    0.05    0.07
NIT2    Gain    0.05    0.09
PIK3CB  Gain    0.05    0.06
ATR     Gain    0.05    0.11
PIK3CA  Gain    0.05    0.11
UGT2B17 Gain    0.05    0.99
ENPEP   Gain    0.05    0.09
FBXW7   Gain    0.05    0.1
PIK3R1  Gain    0.05    0.09
CHD1    Gain    0.05    0.13
APC     Gain    0.05    0.09
DRD1    Gain    0.05    0.07
ZBTB9   Gain    0.05    0.15
HDAC2   Gain    0.05    0.15
FAM183B Gain    0.05    0.09
CDK6    Gain    0.05    0.12
LRRC17  Gain    0.05    0.11
MET     Gain    0.05    0.09
BRAF    Gain    0.05    0.06
KMT2C   Gain    0.05    0.06
NKX3-1  Gain    0.05    0.05
PXDNL   Gain    0.05    0.09
NCOA2   Gain    0.05    0.09
MYC     Gain    0.05    0.05
CDKN2A  Gain    0.05    0.1
FANCG   Gain    0.05    0.08
GRHPR   Gain    0.05    0.05
C9orf47 Gain    0.05    0.08
FANCC   Gain    0.05    0.07
PTEN    Gain    0.05    0.14
CCND1   Gain    0.05    0.23
RSF1    Gain    0.05    0.05
ATM     Gain    0.05    0.07
ZBTB16  Gain    0.05    0.07
CDKN1B  Gain    0.05    0.06
KRAS    Gain    0.05    0.11
KMT2D   Gain    0.05    0.09
CDK4    Gain    0.05    0.09
MDM2    Gain    0.05    0.07
MTIF3   Gain    0.05    0.06
BRCA2   Gain    0.05    0.12
RB1     Gain    0.05    0.12
FOXA1   Gain    0.05    0.12
ATG14   Gain    0.05    0.06
RAD51B  Gain    0.05    0.1
AKT1    Gain    0.05    0.28
MESDC2  Gain    0.05    0.07
IDH2    Gain    0.05    0.08
PALB2   Gain    0.05    0.07
CYLD    Gain    0.05    0.07
TK2     Gain    0.05    0.1
ZFHX3   Gain    0.05    0.1
